days,N,starting_nitrate,population,well_plate,R
0.005034722,15,1000,4,B03_29,999.25
0.853043981,37,1000,4,B03_29,996
1.33400463,108,1000,4,B03_29,995
1.530347222,264,1000,4,B03_29,980
2.288668981,545,1000,4,B03_29,975
2.494502315,563,1000,4,B03_29,970
3.294965278,803,1000,4,B03_29,955
