well_plate,r,alpha,nitrate_concentration,population
B06_4,1.2914163821686628,0.02147273138707143,10,23
B06_5,1.4698467504432589,0.026328040464386745,10,anc2
B06_6,1.223078957210196,0.027033130349462326,10,20
B06_7,1.5777292229091961,0.017527341350386666,20,23
B06_8,0.7940180970759607,0.0041329322381915366,20,anc2
B06_9,1.4445527084638343,0.029164731202770897,20,20
B07_1,1.3533498629270606,0.035938471128101813,5,11
B07_10,1.300786123649229,0.006215458551725263,40,11
B07_11,0.7694229029531162,1e-7,40,27
B07_12,1.4594543182473767,0.010267619671132575,40,anc3
B07_13,1.5329870322124486,0.00571056661774618,60,11
B07_14,0.9975694226877782,1e-7,60,27
B07_15,1.58997061658964,0.006985453833044943,60,anc3
B07_16,2.5613831784425276,0.009787930580059138,80,11
B07_17,2.886863554804471,0.009859404404332063,80,27
B07_18,2.1696548702498992,0.008732517236717668,80,anc3
B07_19,1.7787811655027121,0.004477264501345084,100,anc5
B07_2,0.5156489306429678,1e-7,5,27
B07_20,1.8171253236006208,0.006144345610704137,100,27
B07_21,2.310978994525568,0.005972214604752899,100,anc3
B07_22,2.4502062043248114,0.0034673353317687607,400,11
B07_23,2.1184558620651464,0.0025041370849241693,400,27
B07_24,1.5125118754864744,0.0017737552914114062,400,anc3
B07_25,1.5611472867259504,0.002540334418897484,600,11
B07_26,1.5396715052102339,0.001613925562878365,600,27
B07_27,2.1000664373751263,0.002877239157568413,600,anc3
B07_28,1.7696757832390964,0.003258179179136084,1000,11
B07_29,1.6493133974862069,0.0016178588965110984,1000,27
B07_3,1.0091114776651195,0.023845058825191296,5,anc3
B07_30,1.5479733806816096,0.002291953194146335,1000,anc3
B07_4,1.506161742269533,0.029074374074138865,10,11
B07_5,0.8781263062124839,0.005396153933132984,10,27
B07_6,1.3031557896530601,0.03257428286430917,10,anc3
B07_7,1.3376075696578602,0.013228192558053329,20,11
B07_8,0.7830521874711696,1e-7,20,27
B07_9,1.6571337594406168,0.0347711167257237,20,anc3
B08_1,1.1550949251310616,0.029402585067833942,5,anc5
B08_10,1.293334073535299,0.006315681879709435,40,anc5
B08_11,1.7714318334349641,0.006374415948369685,40,17
B08_12,1.183144607880976,0.005033385249855399,40,7
B08_13,1.4299697527108937,0.005717768398271829,60,anc5
B08_14,1.5144771079202346,0.002192088853724644,60,17
B08_15,1.277192196345624,0.004677707056454132,60,7
B08_16,2.0435713008273133,0.0067746420773310174,80,anc5
B08_17,2.1184377509434906,0.003369410097120224,80,17
B08_18,2.2261836028729647,0.008328778857953575,80,7
B08_19,2.249659024742091,0.00669005040364285,100,11
B08_2,1.441164661634964,0.025527544749544374,5,17
B08_20,1.7616026916690228,0.002481492335347973,100,17
B08_21,2.050447378562589,0.0067497643011776255,100,7
B08_22,2.1174982626525964,0.0035463736955151193,400,anc5
B08_23,1.6403150642288655,0.0012100845710994155,400,17
B08_24,1.3749555981258461,9.837177480414674e-4,400,7
B08_25,1.491772117700399,0.0015320940260086305,600,anc5
B08_26,1.4793409606400374,6.107528754130303e-4,600,17
B08_27,2.07693692095922,0.002500187462565914,600,7
B08_28,1.6345911222810523,0.0018230983672653362,1000,anc5
B08_29,1.641709035948257,0.0013183493646138533,1000,17
B08_3,0.5290825271888087,1.422176775009045e-4,5,7
B08_30,1.4826302535301192,0.0012468819862402794,1000,7
B08_4,1.3811038514977958,0.025195315123981217,10,anc5
B08_5,1.4920477943782138,0.016343219579629645,10,17
B08_6,0.8559809254623233,0.014705464389333943,10,7
B08_7,1.0990506895136423,0.00928190743620842,20,anc5
B08_8,1.7522583352896492,0.007398772260163562,20,17
B08_9,1.4139103955927934,0.01448231935235814,20,7
B09_1,1.2092389631353937,0.03004093706034941,5,1
B09_10,1.2436989706974735,0.004988419983700466,40,1
B09_11,1.3250427729317504,0.007412637938758129,40,26
B09_12,0.9503346624033661,1e-7,40,5
B09_13,1.3217308764759659,0.004736146085026203,60,1
B09_14,1.7769702504042821,0.010105854552864432,60,26
B09_15,1.0388841526122203,1e-7,60,5
B09_16,2.0392808076002704,0.007248841937218859,80,1
B09_17,2.7728684984206757,0.008938574904195916,80,26
B09_18,1.770873085136754,0.007018647744884013,80,5
B09_19,1.7406226664086524,0.00413162999550068,100,1
B09_2,1.0549156446695986,0.0211661724333202,5,26
B09_20,1.8359873030054858,0.00496367434673983,100,26
B09_21,1.8276547142435895,0.004533762700629161,100,5
B09_22,2.0971551367365375,0.002691092293902591,400,1
B09_23,2.1267713187750807,0.0032934948200982342,400,26
B09_24,1.2239951281748143,5.117940717321476e-4,400,30
B09_25,1.3740661737849746,0.0010597556831949556,600,1
B09_26,1.8276851487339807,0.0031898470679516313,600,26
B09_27,2.013081338895039,0.002571118698708192,600,5
B09_28,1.5646670306377148,0.0010167320394070649,1000,1
B09_29,1.8747728510313588,0.0034948158661641734,1000,26
B09_3,0.38903444568900986,1e-7,5,5
B09_30,1.41646925462551,0.0012061855987280617,1000,5
B09_4,0.9288076930565082,0.011916898736407772,10,1
B09_5,1.100022680158471,0.016306592951420056,10,26
B09_6,0.7519202855459179,0.009118581647591757,10,5
B09_7,0.99044893819919,0.0071013280149171305,20,1
B09_8,1.2702698047018424,0.014920289167341767,20,26
B09_9,0.8232360199875123,0.005575345010498459,20,5
B10_11,1.07052115453217,0.005208478396912582,40,2
B10_12,2.064669961993655,0.00985446627005185,40,29
B10_14,1.3921006162119596,0.00872076709683439,60,2
B10_15,1.6361728261502542,0.007695593620498789,60,29
B10_17,2.664653960939451,0.011564972314628044,80,2
B10_18,1.8489179728139065,0.004778266271842126,80,29
B10_2,1.0303888640641303,0.021937967513451,5,2
B10_20,1.9093187720440377,0.005679914134340202,100,2
B10_21,1.5453909504342929,0.00310990318878223,100,29
B10_23,2.314637904099391,0.00548394641793543,400,2
B10_24,1.7552899924251224,0.0019536714502913495,400,29
B10_26,1.6812459437017129,0.004015354748550183,600,2
B10_27,1.8507463634234167,0.0015407300201773547,600,29
B10_29,1.7105403837451116,0.003737003481422868,1000,2
B10_3,1.4005341029322613,0.029929110005931448,5,29
B10_30,1.4598144482480282,8.48878064933212e-4,1000,29
B10_5,1.139699869623726,0.020654938652319287,10,2
B10_6,1.2462573744576029,0.01723690185231301,10,29
B10_8,0.9700428754449607,0.010428237114757374,20,2
B10_9,1.3311850572978097,0.006587131026290064,20,29
B11_1,0.663432472378949,1e-7,5,24
B11_10,1.09926574672954,1e-7,40,24
B11_11,1.4596018429357163,0.009515781509171576,40,18
B11_12,1.4134292731949774,0.010000556543649926,40,anc4
B11_13,1.092250094617283,1e-7,60,24
B11_14,1.6999792413720902,0.009831297049263835,60,18
B11_15,1.4553657638478426,0.006468218137583511,60,anc4
B11_16,1.94432584891063,0.005682624411544442,80,24
B11_17,2.2829273994843855,0.00877098272784209,80,18
B11_18,2.11655287392254,0.00825505792516602,80,anc4
B11_19,2.0061802559937973,0.005009000662811137,100,24
B11_2,1.034484808547955,0.02205971222041298,5,18
B11_20,1.8287333126391183,0.004585486087000961,100,18
B11_21,1.7799564895076176,0.005517416688033902,100,anc4
B11_22,2.341157492162026,0.00400403169195887,400,24
B11_23,1.508303653585437,0.0015757410695509855,400,18
B11_24,1.5527431123572053,0.0023582662792594037,400,anc4
B11_25,1.5494930630600854,0.001210351989849598,600,24
B11_26,1.6852771089904068,0.002387602789882003,600,18
B11_27,1.6074662505277637,0.002245628598162869,600,anc4
B11_28,1.8242565784152782,0.0019972848507395185,1000,24
B11_29,1.5012779393791373,0.002298603604627506,1000,18
B11_3,1.1334194901796493,0.02987194826075932,5,anc4
B11_30,1.5259268242401418,0.0027344952121275035,1000,anc4
B11_4,0.6551291655570898,1e-7,10,24
B11_5,1.47424706921565,0.026411718420354988,10,18
B11_6,1.171495374187901,0.03020776530084999,10,anc4
B11_7,0.8192545059350793,1e-7,20,24
B11_8,1.2799130228578461,0.016376727896080828,20,18
B11_9,1.7462276844224545,0.03206583917271396,20,anc4
C02_1,0.7560038480965544,0.002725785485768972,5,6
C02_10,1.3072529431504667,0.005772866076319568,40,6
C02_11,1.4037060047103413,0.0015284810021026906,40,21
C02_12,1.3456706074243852,0.008825402822909624,40,10
C02_13,1.308421753246589,0.003953030735972606,60,6
C02_14,1.6051876965159335,0.0017836287193720465,60,21
C02_15,1.4365340866760552,0.006309551264396362,60,10
C02_16,1.5341374697230716,0.0036299121463535156,80,6
C02_17,2.0177891817152287,0.0029966741893241314,80,21
C02_18,2.0286985153884123,0.007267780111083491,80,10
C02_19,1.7683828979174696,0.003900360897148744,100,6
C02_2,1.3832782084072806,0.008931327428846359,5,21
C02_20,2.087113599686097,0.0036794451326375285,100,21
C02_21,2.433247365883495,0.006019353872932901,100,10
C02_22,1.5739327768990963,9.714389618970324e-4,400,6
C02_23,1.9919074407389814,0.001654555713953039,400,21
C02_24,1.81482301369118,0.002361577104445711,400,10
C02_25,1.6893983631660463,0.0013482774082043062,600,6
C02_26,1.8069832400800367,0.0011762091506240593,600,21
C02_27,1.5974276697696106,0.0024016608368868614,600,10
C02_28,1.4893648735656908,6.074326494056444e-4,1000,6
C02_29,1.7636083606521462,0.002156788639563975,1000,21
C02_3,1.2840132527792105,0.037073163296811804,5,10
C02_30,1.9936213774152491,0.0029438461679106805,1000,10
C02_4,1.157776875889275,0.014846734886552297,10,6
C02_5,1.479462998923221,0.005993826345035772,10,21
C02_6,1.2408475842442186,0.028862094224257413,10,10
C02_7,1.3939143241918122,0.011539700338341457,20,6
C02_8,1.4680130462674974,0.003934294635319873,20,21
C02_9,0.7539839118236055,0.005625495014371472,20,10
C03_1,1.447197474591346,0.043089008883257104,5,33
C03_10,1.1229426668495552,0.00485377827590905,40,33
C03_11,1.5021544423298396,0.009845025672411445,40,9
C03_12,1.3688805804424675,0.004497743767902766,40,30
C03_13,1.3894855823363388,0.006915936160043086,60,33
C03_14,1.6231005809991073,0.008673695192619449,60,9
C03_15,1.8611052847117493,0.007637310706131995,60,30
C03_16,1.9274887048789533,0.006159767806321261,80,33
C03_17,1.8928761278588582,0.004980144596769707,80,9
C03_18,1.9999213856499847,0.003796262903997039,80,30
C03_19,2.501191807771557,0.007935107944116756,100,33
C03_2,1.2752836733593171,0.04057463361281777,5,9
C03_20,1.8093817754788455,0.004030282785444472,100,9
C03_21,1.9788510329146458,0.001882593476684131,100,30
C03_22,1.5622569642141888,0.0021386642609793737,400,33
C03_23,1.7714355631075438,0.002464649807871739,400,9
C03_24,1.7005536503332808,0.0016369961583347125,400,5
C03_25,1.678021977037089,0.0019292429259067261,600,33
C03_26,1.988723244165704,0.0018265077468778157,600,9
C03_27,1.539319651917273,0.0014417644261995335,600,30
C03_28,1.5880826394972716,0.0016318454130249496,1000,33
C03_29,1.735305253395338,0.0022765318238990857,1000,9
C03_3,1.8711316483472176,0.055486659821993474,5,30
C03_30,1.6064957115426162,0.0013460320298207386,1000,30
C03_4,1.444271449288852,0.029930928746544586,10,33
C03_5,0.9962346559116906,0.014904567311035994,10,9
C03_6,1.4197449197525847,0.01867309917906409,10,30
C03_7,0.9108226780659796,0.0067903494449186004,20,33
C03_8,1.2167132958541207,0.021512081150359776,20,9
C03_9,1.498026844217049,0.01340344702372878,20,30
C04_1,1.509603501843264,0.05494158360760836,5,32
C04_10,1.4480943861413835,0.008371777642023752,40,32
C04_11,1.4711695852649005,0.004520915238945059,40,35
C04_12,0.8601181370566492,1e-7,40,5
C04_13,1.7902054498041728,0.009064146609751857,60,32
C04_14,1.7879813696269382,0.005482531972723452,60,35
C04_15,1.1672299323904343,0.0033824274036100715,60,5
C04_16,2.1283326464006227,0.00673573398044706,80,32
C04_17,1.6047815501259792,0.003211921631647472,80,35
C04_18,1.8841360212065676,0.007477879665668902,80,5
C04_19,2.3165756891091953,0.005827008195334257,100,32
C04_2,1.1726687084881868,0.02132814392346058,5,35
C04_20,1.7412779858733898,0.0027980893197546665,100,35
C04_21,1.9539437783590987,0.004468282062389484,100,5
C04_22,1.469863055507946,7.847336818185306e-4,400,32
C04_23,1.6094736944102475,0.0012994936015108263,400,35
C04_24,1.7923598342944007,0.00179706937093206,400,30
C04_25,1.4827781089578858,0.0015671686635667056,600,32
C04_26,1.7880439933333405,0.0015444540003298679,600,35
C04_27,1.7291007768829545,0.0022468193406099683,600,5
C04_28,1.6692882432588714,0.002164961720943515,1000,32
C04_29,2.0971178888167414,0.0031262002194887744,1000,35
C04_3,0.8104853557366628,0.01707906437985666,5,5
C04_30,1.5220924174277657,0.001955070614677016,1000,5
C04_4,1.2389594021009833,0.026778837323115277,10,32
C04_5,1.3661437204027413,0.021370800025933903,10,35
C04_6,0.9445556629573654,0.013398065772473428,10,5
C04_7,1.3680358901844325,0.017058671573695817,20,32
C04_8,1.1265371858870332,0.0036295268142643856,20,35
C04_9,0.8820740366388851,0.006827033835530673,20,5
C05_1,1.180092341795161,0.022790513640765495,5,25
C05_10,1.505598129086389,0.007846675085344437,40,25
C05_11,1.117345783812742,0.003005779756854347,40,28
C05_12,1.3985964704161638,0.010515523027921385,40,cc1690
C05_13,1.74574925423797,0.006766553837344784,60,25
C05_14,1.7036557889144932,0.005704112498072936,60,28
C05_15,1.5508008442129506,0.006804177072740009,60,cc1690
C05_16,1.9072695388573664,0.006066441719817175,80,25
C05_17,2.190735003064679,0.004715296365745533,80,28
C05_18,2.320750390837049,0.008555804922356155,80,cc1690
C05_19,1.8844543937035134,0.0050483390678935725,100,25
C05_2,1.2227495901484384,0.028261148581872175,5,28
C05_20,1.8808710592702058,0.002124958341807087,100,28
C05_21,2.11835494907117,0.005424202175673256,100,cc1690
C05_22,1.5814483910358386,0.0022541819517035845,400,25
C05_23,1.922837634435381,0.0014075466371743649,400,28
C05_24,1.5645628026586487,0.0018754239302113407,400,cc1690
C05_25,1.3460693663191827,7.07680570131893e-4,600,25
C05_26,2.0107008830660633,0.0014774033775453608,600,28
C05_27,1.4148445516536765,0.0014005744295341933,600,cc1690
C05_28,1.525898579606671,7.460683260174737e-4,1000,25
C05_29,1.5756636979839864,8.462236607568101e-4,1000,28
C05_3,1.2856467426921667,0.04133826514443947,5,cc1690
C05_30,1.6071670821774167,0.002541558334666599,1000,cc1690
C05_4,1.1447941066765832,0.016667993801586626,10,25
C05_5,1.9984777850591084,0.03599510285900544,10,28
C05_6,1.9008703105935398,0.05215530472631498,10,cc1690
C05_7,1.3822478026795442,0.012145813435789535,20,25
C05_8,1.0132081685365426,1.5279823787424387e-4,20,28
C05_9,1.78872693435585,0.037563743474080855,20,cc1690
C06_1,1.704627867697281,0.04110019287067924,5,1
C06_10,1.326224833637416,0.005509179736276465,40,1
C06_11,1.3238993442923306,0.0058527573336126125,40,26
C06_12,1.351874076988956,0.011083345922069056,40,anc3
C06_13,1.4275250978159473,0.0061036847355942165,60,1
C06_14,1.7537355916853905,0.010434056977382733,60,26
C06_15,1.7847606723425171,0.010372997588191681,60,anc3
C06_16,1.7280515877848235,0.005317426467541158,80,1
C06_17,2.548515926982792,0.008922375596040298,80,26
C06_18,2.393079513591751,0.009229523454369665,80,anc3
C06_19,1.9258110682898384,0.00538737776637593,100,1
C06_2,1.032682983716625,0.02349509988360164,5,26
C06_20,1.8400748522654076,0.005222465403781003,100,26
C06_21,2.030265528507287,0.0048812859926253204,100,anc3
C06_22,1.669207274829298,0.0015608678422053964,400,1
C06_23,1.8950126285275317,0.0025740785334845747,400,26
C06_24,1.5528131972469572,0.0016237537935284234,400,anc3
C06_25,1.487246651886302,0.0013501079383453857,600,1
C06_26,1.8314252774958635,0.003277925994262847,600,26
C06_27,1.5451321306023258,0.0018863721151422845,600,anc3
C06_28,1.4937154615647616,9.992860582027625e-4,1000,1
C06_29,1.8384744862799252,0.00284096306012531,1000,26
C06_3,1.0281292115258187,0.027993482557564304,5,anc3
C06_30,1.5671545363229318,0.0023240676124226135,1000,anc3
C06_4,1.1342915604872394,0.01891857558832233,10,1
C06_5,1.495424501709725,0.027318738178474966,10,26
C06_6,1.0393198488380941,0.027064560524728488,10,anc3
C06_7,1.061357097977803,0.006344817903072755,20,1
C06_8,1.4484491571915004,0.02270983438289922,20,26
C06_9,1.5575693450701427,0.030122166950951823,20,anc3
C07_1,1.429981435084938,0.04516296172660591,5,11
C07_10,1.4759603859384243,0.008347546179351854,40,11
C07_11,0.8634592676485696,1e-7,40,27
C07_12,1.1209784371396005,0.004038922595798184,40,7
C07_13,1.7867765271590619,0.00797302934216902,60,11
C07_14,1.0461368435073273,1e-7,60,27
C07_15,1.1586560908158658,0.0027209736632315207,60,7
C07_16,2.2593559665803324,0.00921973675296872,80,11
C07_17,2.8775311790731948,0.009889542814351565,80,27
C07_18,2.059468354996562,0.008555256311324954,80,7
C07_19,2.03181367087448,0.006241460572316132,100,anc5
C07_2,0.5295181616812555,1e-7,5,27
C07_20,2.0027955629342946,0.006502682559683542,100,27
C07_21,1.9588302000383802,0.0033679111507965293,100,7
C07_22,2.0453995011630215,0.003093739242255537,400,11
C07_23,2.262237046359909,0.0029718279020388297,400,27
C07_24,1.3268900766908607,9.523762968532088e-4,400,7
C07_25,1.7351729186715914,0.0031421963530524045,600,11
C07_26,1.572602037162514,0.001874066897145293,600,27
C07_27,1.6868432972575567,0.0018641962791135361,600,7
C07_28,1.8709760537985554,0.0035957752875467354,1000,11
C07_29,1.840483913751363,0.0017513702775405417,1000,27
C07_3,1.0670549068517252,0.016156676868439294,5,7
C07_30,1.5277450251415852,0.0014787634017386778,1000,7
C07_4,1.0325278510278397,0.017545993833040254,10,11
C07_5,0.7658528896038311,1e-7,10,27
C07_6,0.9825305723964394,0.014571879350006688,10,7
C07_7,1.7185802722488672,0.022245935385521637,20,11
C07_8,0.7128265307799763,1e-7,20,27
C07_9,1.4314703323440736,0.01387706606645496,20,7
C08_11,1.1077153394155101,0.005267371075268889,40,2
C08_12,1.7426354876293235,0.013463826177028628,40,16
C08_14,1.6415496399955638,0.011422466922405195,60,2
C08_15,1.1543313369765593,0.003979795506835671,60,16
C08_17,2.4476934598539763,0.010310834197397986,80,2
C08_18,1.8332468972485545,0.007211798430862898,80,16
C08_2,1.0429842496637836,0.02896532986325848,5,2
C08_20,2.022403264882662,0.006698498329001923,100,2
C08_21,2.2384825212562913,0.008869036480690443,100,16
C08_23,2.6049072300959626,0.005324941395861713,400,2
C08_24,1.248837197556489,9.062376263817575e-4,400,16
C08_26,1.6847132432898295,0.004540918457400846,600,2
C08_27,1.2683990436411985,0.0011574584374445139,600,16
C08_29,1.9796897878683146,0.00371888443627159,1000,2
C08_3,1.1602498471716227,0.03317730823116888,5,16
C08_30,1.6938779613139063,0.0032229062808181363,1000,16
C08_5,1.182072074259333,0.021697558104803207,10,2
C08_6,1.580469808389796,0.03731322241891187,10,16
C08_8,1.7379121294824293,0.027369350779448937,20,2
C08_9,1.773438826291724,0.030468949646682907,20,16
C09_1,1.1452919604709082,0.013310836833551033,5,6
C09_10,1.552804607214716,0.007371997681731203,40,6
C09_11,1.4835008673197996,0.0023982907535206248,40,21
C09_12,1.5603645763171206,0.005428136490693322,40,30
C09_13,1.2009477907832506,0.0026166780968469314,60,6
C09_14,1.630009372944263,0.0017955511719628954,60,21
C09_15,1.9035296064176528,0.009848009520079217,60,30
C09_16,1.9609773354421747,0.005158265163373103,80,6
C09_17,2.2949378048398765,0.003477375117773174,80,21
C09_18,1.8646999457401034,0.005623134962343685,80,30
C09_19,1.9039323284906295,0.0036824398837917915,100,6
C09_2,1.5186091322741608,0.01034807066390187,5,21
C09_20,2.0071489850370803,0.0024126298697448386,100,21
C09_21,1.667182098588543,0.004078126959277692,100,30
C09_22,1.8099748644532643,0.0014225888347171077,400,6
C09_23,1.837071439097359,0.0015933229173736624,400,21
C09_24,1.3811698636477048,8.426424612925001e-4,400,5
C09_25,1.4264736986243667,8.58081138173917e-4,600,6
C09_26,1.916496811975254,0.0014773536637898083,600,21
C09_27,1.4403351022102524,0.0011898100383705365,600,30
