well_plate,r,alpha,nitrate_concentration,population
B02_1,1.3386793618324504,0.03908547325076109,5,25
B02_10,1.5236993789764073,0.009670855589369419,40,25
B02_11,1.2483787482698807,0.001406848697801369,40,28
B02_12,1.5093556744800132,0.010043783550171992,40,15
B02_13,1.7118521342708,0.007926967793195575,60,25
B02_14,1.6724526237647739,0.00882008056309791,60,28
B02_15,1.9423159028885362,0.009870081547694805,60,15
B02_16,1.981885771803687,0.005114149340403961,80,25
B02_17,1.9440499037161874,0.003583364181698371,80,28
B02_18,1.7671237739127605,0.004544072855572171,80,15
B02_19,1.8715571421376118,0.004584130761307701,100,25
B02_2,1.2320672308674208,0.0260030026912593,5,28
B02_20,1.4917046514730719,0.0024356073651031042,100,28
B02_21,2.3505450153076946,0.004064850699413609,100,15
B02_22,2.175714263953721,0.0020085753754604543,400,25
B02_23,1.8529464287990742,0.0015190477658327543,400,28
B02_24,1.8750586697192824,0.002385629717373814,400,15
B02_25,1.7870703683361735,0.0017213401836889894,600,25
B02_26,1.908248349349537,0.0010711477365382663,600,28
B02_27,2.5247426442737164,0.004948586511181509,600,15
B02_28,1.7140754703695444,0.0010553690909242456,1000,25
B02_29,1.907077843217687,0.0021282347547082405,1000,28
B02_3,0.2519932407410284,3.549082685580194e-4,5,15
B02_30,1.791074938807736,0.001735911003494863,1000,15
B02_4,1.5884657010224177,0.035695063341013265,10,25
B02_5,1.7357615418169936,0.02929165017983224,10,28
B02_6,0.7957606206633728,0.02683252016203171,10,15
B02_7,1.2362892526631026,0.01323175931051394,20,25
B02_8,0.7878338101476053,1e-7,20,28
B02_9,1.4735183973200927,0.020150341736904467,20,15
B03_1,0.7234163010593466,0.01739421169424244,5,19
B03_10,0.9757026790185634,0.003616125447839683,40,19
B03_11,1.1650239927865687,0.0056966910088609496,40,4
B03_12,1.809994298310236,0.010130587601406466,40,3
B03_13,1.3883405423354538,0.007742581300283379,60,19
B03_14,1.409730226986498,0.008270573652622862,60,4
B03_15,1.4846487270254514,0.0058290147338403734,60,3
B03_16,1.8259941033389244,0.006609678458401356,80,19
B03_17,1.897974288893512,0.005756869427026143,80,4
B03_18,2.6489777195165716,0.008647230512012364,80,3
B03_19,1.4867382527668074,0.0035252309553793124,100,19
B03_2,0.801741952589569,0.015953945040280134,5,4
B03_20,1.86232869441669,0.005943450440429751,100,4
B03_21,2.2000347079804583,0.00528956231576564,100,3
B03_22,2.014602799629753,0.001796518500553663,400,19
B03_23,2.031501847245561,0.0020142209903102172,400,4
B03_24,1.7274638654278958,0.001749344436272894,400,3
B03_25,1.4724897790768405,6.808171021746264e-4,600,19
B03_26,2.1939832666647274,0.0024056014541749206,600,4
B03_27,1.4945552686973707,0.001745962971237649,600,3
B03_28,1.4969317206601047,6.766292544456107e-4,1000,19
B03_29,1.9225525476666956,0.0021852723684491243,1000,4
B03_3,1.096181287598764,0.027738314228523846,5,3
B03_30,1.9880303946224263,0.0023572681884587903,1000,3
B03_4,1.3523389175280915,0.0389863795471274,10,19
B03_5,0.79343185327458,0.011248164622966132,10,4
B03_6,1.4799684371809414,0.027302514382932814,10,3
B03_7,0.9949023271577457,0.007319960578109169,20,19
B03_8,1.0233019401304266,0.011837320608168436,20,4
B03_9,1.6977599446243692,0.0199961792784081,20,3
B04_1,0.6910438808590046,0.01269520659800491,5,14
B04_10,1.2753070069793362,0.006010566055785684,40,14
B04_11,1.2031399205440876,0.004968485123102228,40,31
B04_12,1.300241105318087,0.010618904816884028,40,cc1690
B04_13,1.4238236053846314,0.006036692166682903,60,14
B04_14,1.709458022068524,0.01067173706557684,60,31
B04_15,1.722506305426485,0.0076979730205259484,60,cc1690
B04_16,1.883718451404328,0.006320511091421547,80,14
B04_17,1.6537689325790423,0.004995490860995828,80,31
B04_18,2.379846144185247,0.007940259765713524,80,cc1690
B04_19,2.0785941265186763,0.006048696761164692,100,14
B04_2,0.8250249295511279,0.017962639455284635,5,31
B04_20,2.3221505632042385,0.005862454946114695,100,31
B04_21,2.3642294805717907,0.006356337524824946,100,cc1690
B04_22,2.2089395243335104,0.003166362162453566,400,14
B04_23,1.816490650087554,0.0017168864124394452,400,31
B04_24,1.667115589532367,0.0020264111872683975,400,cc1690
B04_25,1.3659991368623394,0.0010467841779508162,600,14
B04_26,1.83428875214498,0.0010644577880969852,600,31
B04_27,1.2559673820175317,6.50122955580447e-4,600,cc1690
B04_28,1.413795839269053,7.681716327777571e-4,1000,14
B04_29,1.585071997915721,0.0011519252884084907,1000,31
B04_3,1.083343182265566,0.032898652163221305,5,cc1690
B04_30,1.4794303969741995,0.0021145784142552527,1000,cc1690
B04_4,1.0326435125279043,0.01930559813910289,10,14
B04_5,0.9772946451721191,0.015706588197385584,10,31
B04_6,1.3330200350217225,0.04144723244391647,10,cc1690
B04_7,1.3123824725739783,0.012489350978934359,20,14
B04_8,0.8988525351490939,0.011576495118762239,20,31
B04_9,1.9972788372911492,0.04883902753867315,20,cc1690
B05_1,1.200394910612912,0.008526622856720843,5,8
B05_10,1.1805662983479943,0.0012152753670675543,40,8
B05_11,1.4105157338673622,0.008745565825789118,40,22
B05_12,1.3414424438959878,0.008980231212493759,40,16
B05_13,1.3621010384811894,0.0013047025955394084,60,8
B05_14,1.688545026656503,0.011690205089506066,60,22
B05_15,1.5233141456897783,0.0055306082246637115,60,16
B05_16,1.757416882241634,0.002056537954924872,80,8
B05_17,2.2623204318170163,0.008048474043181358,80,22
B05_18,2.053994698875904,0.006990732664633653,80,16
B05_19,1.7939549134093795,0.00223793295697802,100,8
B05_2,0.662341592942019,0.012820792882874125,5,22
B05_20,1.867133037641239,0.004276909048908167,100,22
B05_21,2.607860829304314,0.006804771581938507,100,16
B05_22,1.3518487104076462,0.0011580815540924302,400,8
B05_23,2.0092831241010645,0.003406026341474173,400,22
B05_24,1.5518946989169233,0.0014775173755042243,400,16
B05_25,1.717309305491861,0.002030017807867567,600,8
B05_26,2.29939364761782,0.00263860506868198,600,22
B05_27,1.3571698492815194,0.0013684679283729594,600,16
B05_28,1.754913926751193,0.001928194297090645,1000,8
B05_29,1.9785077703686909,0.003554913718056516,1000,22
B05_3,1.035707652469972,0.02773168163735326,5,16
B05_30,1.7257510531343123,0.002758206159925155,1000,16
B05_4,1.1956546055100472,0.006073537270349396,10,8
B05_5,1.2081682719134919,0.02502650660937975,10,22
B05_6,1.207700780619064,0.029016887283788054,10,16
B05_7,1.365136905063744,0.004651195884489234,20,8
B05_8,1.2421889898639153,0.019679907391936844,20,22
B05_9,1.8578050400434067,0.04014095380793885,20,16
B06_1,1.5495807518706972,0.06396507506050476,5,23
B06_10,1.535409344066111,0.007852584357694517,40,23
B06_11,1.6001422930305396,0.008599691094508406,40,anc2
B06_12,1.3585863258649924,0.00868130021712428,40,20
B06_13,1.5762590018830824,0.006329766919430484,60,23
B06_14,1.4702054804591915,0.00839608283947675,60,anc2
B06_15,1.3972180422991842,0.005291921667383774,60,20
B06_16,2.242932218613863,0.007516701805357907,80,23
B06_17,1.9911109828842293,0.0065727719205830705,80,anc2
B06_18,2.2354601568404093,0.008547401367494876,80,20
B06_19,1.8581207518577745,0.004764069487869557,100,23
B06_2,0.8939864422908845,0.01898295490814624,5,anc2
B06_20,2.1000508604738517,0.005996503377089068,100,anc2
B06_21,2.526723459085384,0.006673424071984436,100,20
B06_22,2.3904461579069594,0.0031628472755130363,400,23
B06_23,1.5460129737236055,0.0012610929728144153,400,anc2
B06_24,1.623250302064443,0.00169393491022174,400,20
B06_25,1.3367828005513986,0.001398419291278693,600,23
B06_26,2.3362341674377896,0.0025711807311207006,600,anc2
B06_27,2.1512870182152817,0.0024682921838208253,600,20
B06_28,1.593872675629058,0.001955608764873905,1000,23
B06_29,2.130751301705755,0.0037782653995723265,1000,anc2
B06_3,0.7148285019185949,0.01293038081193583,5,20
B06_30,1.5649986200851465,0.001952317636188873,1000,20
