well_plate,r,nitrate_concentration,population,alpha
B02_1,1.3386793618324504,5,25,0.03744862032566322
B02_10,1.5236993789764073,40,25,0.005767376507983473
B02_11,1.2483787482698807,40,28,0.0012504327389754456
B02_12,1.5093556744800132,40,15,0.0056758999941040646
B02_13,1.7118521342708,60,25,0.0030747100823752347
B02_14,1.6724526237647739,60,28,0.004113887091060147
B02_15,1.9423159028885362,60,15,0.003233363568933419
B02_16,1.981885771803687,80,25,1e-7
B02_17,1.9440499037161874,80,28,1e-7
B02_18,1.7671237739127605,80,15,1e-7
B02_19,1.8715571421376118,100,25,1e-7
B02_2,1.2320672308674208,5,28,0.028794420748447055
B02_20,1.4917046514730719,100,28,1e-7
B02_21,2.3505450153076946,100,15,1e-7
B02_22,2.175714263953721,400,25,1e-7
B02_23,1.8529464287990742,400,28,1e-7
B02_24,1.8750586697192824,400,15,1e-7
B02_25,1.7870703683361735,600,25,1e-7
B02_26,1.908248349349537,600,28,1e-7
B02_27,2.5247426442737164,600,15,1e-7
B02_28,1.7140754703695444,1000,25,1e-7
B02_29,1.907077843217687,1000,28,1e-7
B02_3,0.2519932407410284,5,15,0.05074992083762631
B02_30,1.791074938807736,1000,15,1e-7
B02_4,1.5884657010224177,10,25,0.027050884651657194
B02_5,1.7357615418169936,10,28,0.018787422520209374
B02_6,0.7957606206633728,10,15,0.04698986828977856
B02_7,1.2362892526631026,20,25,0.013577758983220122
B02_8,0.7878338101476053,20,28,0.007317092966215534
B02_9,1.4735183973200927,20,15,0.014979685355288316
B03_1,0.7234163010593466,5,19,0.048731461762505805
B03_10,0.9757026790185634,40,19,0.007754532038642139
B03_11,1.1650239927865687,40,4,0.006762052431104253
B03_12,1.809994298310236,40,3,0.0039917070348227755
B03_13,1.3883405423354538,60,19,0.005872343569743207
B03_14,1.409730226986498,60,4,0.005788656321177978
B03_15,1.4846487270254514,60,3,0.0022625734380830043
B03_16,1.8259941033389244,80,19,9.818118772663752e-4
B03_17,1.897974288893512,80,4,7.759171718055601e-5
B03_18,2.6489777195165716,80,3,1e-7
B03_19,1.4867382527668074,100,19,1e-7
B03_2,0.801741952589569,5,4,0.049371801329353565
B03_20,1.86232869441669,100,4,1e-7
B03_21,2.2000347079804583,100,3,1e-7
B03_22,2.014602799629753,400,19,1e-7
B03_23,2.031501847245561,400,4,1e-7
B03_24,1.7274638654278958,400,3,1e-7
B03_25,1.4724897790768405,600,19,1e-7
B03_26,2.1939832666647274,600,4,1e-7
B03_27,1.4945552686973707,600,3,1e-7
B03_28,1.4969317206601047,1000,19,1e-7
B03_29,1.9225525476666956,1000,4,1e-7
B03_3,1.096181287598764,5,3,0.03432359469541324
B03_30,1.9880303946224263,1000,3,1e-7
B03_4,1.3523389175280915,10,19,0.03888013056297483
B03_5,0.79343185327458,10,4,0.031263459270293954
B03_6,1.4799684371809414,10,3,0.022344782679915375
B03_7,0.9949023271577457,20,19,0.01544781293909522
B03_8,1.0233019401304266,20,4,0.02344697058417332
B03_9,1.6977599446243692,20,3,0.012438472285564212
B04_1,0.6910438808590046,5,14,0.043717139944634095
B04_10,1.2753070069793362,40,14,0.005241277105101764
B04_11,1.2031399205440876,40,31,0.004349086948164908
B04_12,1.300241105318087,40,cc1690,0.008777981133115113
B04_13,1.4238236053846314,60,14,0.003443794358012016
B04_14,1.709458022068524,60,31,0.005711438072898959
B04_15,1.722506305426485,60,cc1690,0.0028486430888055273
B04_16,1.883718451404328,80,14,4.547519586099551e-4
B04_17,1.6537689325790423,80,31,1e-7
B04_18,2.379846144185247,80,cc1690,1.372426610655614e-4
B04_19,2.0785941265186763,100,14,1e-7
B04_2,0.8250249295511279,5,31,0.03990335542953834
B04_20,2.3221505632042385,100,31,1e-7
B04_21,2.3642294805717907,100,cc1690,1e-7
B04_22,2.2089395243335104,400,14,1e-7
B04_23,1.816490650087554,400,31,1e-7
B04_24,1.667115589532367,400,cc1690,1e-7
B04_25,1.3659991368623394,600,14,1e-7
B04_26,1.83428875214498,600,31,1e-7
B04_27,1.2559673820175317,600,cc1690,1e-7
B04_28,1.413795839269053,1000,14,1e-7
B04_29,1.585071997915721,1000,31,1e-7
B04_3,1.083343182265566,5,cc1690,0.04445583898637893
B04_30,1.4794303969741995,1000,cc1690,1e-7
B04_4,1.0326435125279043,10,14,0.028032243214424737
B04_5,0.9772946451721191,10,31,0.02861074140886565
B04_6,1.3330200350217225,10,cc1690,0.039755609361629876
B04_7,1.3123824725739783,20,14,0.011893608348283322
B04_8,0.8988525351490939,20,31,0.022502494474031857
B04_9,1.9972788372911492,20,cc1690,0.02781290672804144
B05_1,1.200394910612912,5,8,0.008970101424092384
B05_10,1.1805662983479943,40,8,8.161009296491907e-4
B05_11,1.4105157338673622,40,22,0.005772080470608077
B05_12,1.3414424438959878,40,16,0.006939525740392043
B05_13,1.3621010384811894,60,8,1e-7
B05_14,1.688545026656503,60,22,0.005959614642659368
B05_15,1.5233141456897783,60,16,0.001891598505723581
B05_16,1.757416882241634,80,8,1e-7
B05_17,2.2623204318170163,80,22,2.3238016484514382e-4
B05_18,2.053994698875904,80,16,6.85691670527181e-5
B05_19,1.7939549134093795,100,8,1e-7
B05_2,0.662341592942019,5,22,0.04734377927429296
B05_20,1.867133037641239,100,22,1e-7
B05_21,2.607860829304314,100,16,1e-7
B05_22,1.3518487104076462,400,8,1e-7
B05_23,2.0092831241010645,400,22,1e-7
B05_24,1.5518946989169233,400,16,1e-7
B05_25,1.717309305491861,600,8,1e-7
B05_26,2.29939364761782,600,22,1e-7
B05_27,1.3571698492815194,600,16,1e-7
B05_28,1.754913926751193,1000,8,1e-7
B05_29,1.9785077703686909,1000,22,1e-7
B05_3,1.035707652469972,5,16,0.0388040853021636
B05_30,1.7257510531343123,1000,16,1e-7
B05_4,1.1956546055100472,10,8,0.006757146001659207
B05_5,1.2081682719134919,10,22,0.027363563951603467
B05_6,1.207700780619064,10,16,0.0304005647379056
B05_7,1.365136905063744,20,8,0.003032606653840181
B05_8,1.2421889898639153,20,22,0.01943450478938428
B05_9,1.8578050400434067,20,16,0.024664299968267148
B06_1,1.5495807518706972,5,23,0.052918691587425126
B06_10,1.535409344066111,40,23,0.004411242255155556
B06_11,1.6001422930305396,40,anc2,0.004399905993020533
B06_12,1.3585863258649924,40,20,0.006826960168301156
B06_13,1.5762590018830824,60,23,0.0025373947412744963
B06_14,1.4702054804591915,60,anc2,0.004814563997287967
B06_15,1.3972180422991842,60,20,0.002459323174097853
B06_16,2.242932218613863,80,23,2.838617399764405e-4
B06_17,1.9911109828842293,80,anc2,1.9989184729753766e-4
B06_18,2.2354601568404093,80,20,7.03294123852337e-4
B06_19,1.8581207518577745,100,23,1e-7
B06_2,0.8939864422908845,5,anc2,0.036196907286263715
B06_20,2.1000508604738517,100,anc2,1e-7
B06_21,2.526723459085384,100,20,1e-7
B06_22,2.3904461579069594,400,23,1e-7
B06_23,1.5460129737236055,400,anc2,1e-7
B06_24,1.623250302064443,400,20,1e-7
B06_25,1.3367828005513986,600,23,1e-7
B06_26,2.3362341674377896,600,anc2,1e-7
B06_27,2.1512870182152817,600,20,1e-7
B06_28,1.593872675629058,1000,23,1e-7
B06_29,2.130751301705755,1000,anc2,1e-7
B06_3,0.7148285019185949,5,20,0.03704478202204568
B06_30,1.5649986200851465,1000,20,1e-7
B06_4,1.2914163821686628,10,23,0.020182532370238534
B06_5,1.4698467504432589,10,anc2,0.021474090115054262
B06_6,1.223078957210196,10,20,0.030264503152043362
B06_7,1.5777292229091961,20,23,0.011521613585232566
B06_8,0.7940180970759607,20,anc2,0.014443058591392315
B06_9,1.4445527084638343,20,20,0.024149213161910668
B07_1,1.3533498629270606,5,11,0.03372530239178917
B07_10,1.300786123649229,40,11,0.004687860585139661
B07_11,0.7694229029531162,40,27,0.007981518894113922
B07_12,1.4594543182473767,40,anc3,0.0070596759932767105
B07_13,1.5329870322124486,60,11,0.0023947292134095695
B07_14,0.9975694226877782,60,27,0.007234420795534212
B07_15,1.58997061658964,60,anc3,0.0028729498950653375
B07_16,2.5613831784425276,80,11,7.935176998104067e-4
B07_17,2.886863554804471,80,27,3.319003117685478e-5
B07_18,2.1696548702498992,80,anc3,8.751431577229203e-4
B07_19,1.7787811655027121,100,anc5,1e-7
B07_2,0.5156489306429678,5,27,0.05039929361314953
B07_20,1.8171253236006208,100,27,1.6232065926170285e-4
B07_21,2.310978994525568,100,anc3,1e-7
B07_22,2.4502062043248114,400,11,1e-7
B07_23,2.1184558620651464,400,27,1e-7
B07_24,1.5125118754864744,400,anc3,1e-7
B07_25,1.5611472867259504,600,11,1e-7
B07_26,1.5396715052102339,600,27,1e-7
B07_27,2.1000664373751263,600,anc3,1e-7
B07_28,1.7696757832390964,1000,11,1e-7
B07_29,1.6493133974862069,1000,27,1e-7
B07_3,1.0091114776651195,5,anc3,0.03360927550419435
B07_30,1.5479733806816096,1000,anc3,1e-7
B07_4,1.506161742269533,10,11,0.023161095882004937
B07_5,0.8781263062124839,10,27,0.0227396433924797
B07_6,1.3031557896530601,10,anc3,0.031996737717302035
B07_7,1.3376075696578602,20,11,0.011490013572511348
B07_8,0.7830521874711696,20,27,0.022573080262064036
B07_9,1.6571337594406168,20,anc3,0.024465710044588036
B08_1,1.1550949251310616,5,anc5,0.03478041198188288
B08_10,1.293334073535299,40,anc5,0.005306349618688138
B08_11,1.7714318334349641,40,17,0.001359346026086002
B08_12,1.183144607880976,40,7,0.00513521328672473
B08_13,1.4299697527108937,60,anc5,0.0031186476056313875
B08_14,1.5144771079202346,60,17,1e-7
B08_15,1.277192196345624,60,7,0.0033010132330542077
B08_16,2.0435713008273133,80,anc5,3.7926670608497663e-4
B08_17,2.1184377509434906,80,17,1e-7
B08_18,2.2261836028729647,80,7,9.319842693582383e-4
B08_19,2.249659024742091,100,11,1e-7
B08_2,1.441164661634964,5,17,0.021166698276071302
B08_20,1.7616026916690228,100,17,1e-7
B08_21,2.050447378562589,100,7,1e-7
B08_22,2.1174982626525964,400,anc5,1e-7
B08_23,1.6403150642288655,400,17,1e-7
B08_24,1.3749555981258461,400,7,1e-7
B08_25,1.491772117700399,600,anc5,1e-7
B08_26,1.4793409606400374,600,17,1e-7
B08_27,2.07693692095922,600,7,1e-7
B08_28,1.6345911222810523,1000,anc5,1e-7
B08_29,1.641709035948257,1000,17,1e-7
B08_3,0.5290825271888087,5,7,0.029484357681538124
B08_30,1.4826302535301192,1000,7,1e-7
B08_4,1.3811038514977958,10,anc5,0.02285455233567725
B08_5,1.4920477943782138,10,17,0.012211361616547374
B08_6,0.8559809254623233,10,7,0.03119833645223658
B08_7,1.0990506895136423,20,anc5,0.011767853767026524
B08_8,1.7522583352896492,20,17,0.0026865385068341845
B08_9,1.4139103955927934,20,7,0.012834730703271246
B09_1,1.2092389631353937,5,1,0.034404510423718435
B09_10,1.2436989706974735,40,1,0.004214871989487017
B09_11,1.3250427729317504,40,26,0.005531729324892738
B09_12,0.9503346624033661,40,5,0.009409201075075065
B09_13,1.3217308764759659,60,1,0.002895897301647605
B09_14,1.7769702504042821,60,26,0.004412995401924213
B09_15,1.0388841526122203,60,5,0.005764836466981009
B09_16,2.0392808076002704,80,1,5.994104349509511e-4
B09_17,2.7728684984206757,80,26,1e-7
B09_18,1.770873085136754,80,5,7.403995252212504e-4
B09_19,1.7406226664086524,100,1,1e-7
B09_2,1.0549156446695986,5,26,0.028172473407110342
B09_20,1.8359873030054858,100,26,1e-7
B09_21,1.8276547142435895,100,5,1e-7
B09_22,2.0971551367365375,400,1,1e-7
B09_23,2.1267713187750807,400,26,1e-7
B09_24,1.2239951281748143,400,30,1e-7
B09_25,1.3740661737849746,600,1,1e-7
B09_26,1.8276851487339807,600,26,1e-7
B09_27,2.013081338895039,600,5,1e-7
B09_28,1.5646670306377148,1000,1,1e-7
B09_29,1.8747728510313588,1000,26,1e-7
B09_3,0.38903444568900986,5,5,0.051222589333755376
B09_30,1.41646925462551,1000,5,1e-7
B09_4,0.9288076930565082,10,1,0.02558971137552488
B09_5,1.100022680158471,10,26,0.020293260553841543
B09_6,0.7519202855459179,10,5,0.03451366243275364
B09_7,0.99044893819919,20,1,0.01207919873466677
B09_8,1.2702698047018424,20,26,0.014464077985556597
B09_9,0.8232360199875123,20,5,0.018957835986614657
B10_11,1.07052115453217,40,2,0.006766211319114215
B10_12,2.064669961993655,40,29,0.0028133699548039642
B10_14,1.3921006162119596,60,2,0.006081821052896449
B10_15,1.6361728261502542,60,29,0.0031602551121025792
B10_17,2.664653960939451,80,2,0.0023591341615627386
B10_18,1.8489179728139065,80,29,1e-7
B10_2,1.0303888640641303,5,2,0.03380406262761903
B10_20,1.9093187720440377,100,2,1e-7
B10_21,1.5453909504342929,100,29,1e-7
B10_23,2.314637904099391,400,2,1e-7
B10_24,1.7552899924251224,400,29,1e-7
B10_26,1.6812459437017129,600,2,1e-7
B10_27,1.8507463634234167,600,29,1e-7
B10_29,1.7105403837451116,1000,2,1e-7
B10_3,1.4005341029322613,5,29,0.026800469923018037
B10_30,1.4598144482480282,1000,29,1e-7
B10_5,1.139699869623726,10,2,0.026449455323075022
B10_6,1.2462573744576029,10,29,0.017211250953066703
B10_8,0.9700428754449607,20,2,0.019015871426807402
B10_9,1.3311850572978097,20,29,0.00471453559126729
B11_1,0.663432472378949,5,24,0.05131203644517736
B11_10,1.09926574672954,40,24,0.00629979912301499
B11_11,1.4596018429357163,40,18,0.0063139025377460046
B11_12,1.4134292731949774,40,anc4,0.007149799767594293
B11_13,1.092250094617283,60,24,0.00691921376570953
B11_14,1.6999792413720902,60,18,0.004428111613470446
B11_15,1.4553657638478426,60,anc4,0.0034657508700621786
B11_16,1.94432584891063,80,24,8.65152044777958e-4
B11_17,2.2829273994843855,80,18,8.878485972056274e-4
B11_18,2.11655287392254,80,anc4,5.390842574325281e-4
B11_19,2.0061802559937973,100,24,1e-7
B11_2,1.034484808547955,5,18,0.030329921217843073
B11_20,1.8287333126391183,100,18,1e-7
B11_21,1.7799564895076176,100,anc4,1e-7
B11_22,2.341157492162026,400,24,1e-7
B11_23,1.508303653585437,400,18,1e-7
B11_24,1.5527431123572053,400,anc4,1e-7
B11_25,1.5494930630600854,600,24,1e-7
B11_26,1.6852771089904068,600,18,1e-7
B11_27,1.6074662505277637,600,anc4,1e-7
B11_28,1.8242565784152782,1000,24,1e-7
B11_29,1.5012779393791373,1000,18,1e-7
B11_3,1.1334194901796493,5,anc4,0.03790017853057038
B11_30,1.5259268242401418,1000,anc4,1e-7
B11_4,0.6551291655570898,10,24,0.038295792038811366
B11_5,1.47424706921565,10,18,0.02130806713555929
B11_6,1.171495374187901,10,anc4,0.03382189612931949
B11_7,0.8192545059350793,20,24,0.01812179531967568
B11_8,1.2799130228578461,20,18,0.015705202800950897
B11_9,1.7462276844224545,20,anc4,0.020885439188837982
C02_1,0.7560038480965544,5,6,0.018372028107252653
C02_10,1.3072529431504667,40,6,0.004605658730557636
C02_11,1.4037060047103413,40,21,1e-7
C02_12,1.3456706074243852,40,10,0.007647691738501326
C02_13,1.308421753246589,60,6,0.005298739057366368
C02_14,1.6051876965159335,60,21,1e-7
C02_15,1.4365340866760552,60,10,0.0035414108530801612
C02_16,1.5341374697230716,80,6,1e-7
C02_17,2.0177891817152287,80,21,1e-7
C02_18,2.0286985153884123,80,10,2.7310489257692825e-4
C02_19,1.7683828979174696,100,6,1e-7
C02_2,1.3832782084072806,5,21,0.007496681900100703
C02_20,2.087113599686097,100,21,1e-7
C02_21,2.433247365883495,100,10,1e-7
C02_22,1.5739327768990963,400,6,1e-7
C02_23,1.9919074407389814,400,21,1e-7
C02_24,1.81482301369118,400,10,1e-7
C02_25,1.6893983631660463,600,6,1e-7
C02_26,1.8069832400800367,600,21,1e-7
C02_27,1.5974276697696106,600,10,1e-7
C02_28,1.4893648735656908,1000,6,1e-7
C02_29,1.7636083606521462,1000,21,1e-7
C02_3,1.2840132527792105,5,10,0.0431285972143784
C02_30,1.9936213774152491,1000,10,1e-7
C02_4,1.157776875889275,10,6,0.020481350424908906
C02_5,1.479462998923221,10,21,0.003351534932868419
C02_6,1.2408475842442186,10,10,0.030385110568939784
C02_7,1.3939143241918122,20,6,0.011419176378824565
C02_8,1.4680130462674974,20,21,0.0015003953223157607
C02_9,0.7539839118236055,20,10,0.018363354608807964
C03_1,1.447197474591346,5,33,0.038889410378473314
C03_10,1.1229426668495552,40,33,0.005367439014603466
C03_11,1.5021544423298396,40,9,0.0066072110346335885
C03_12,1.3688805804424675,40,30,0.002617278982644181
C03_13,1.3894855823363388,60,33,0.004659541814314512
C03_14,1.6231005809991073,60,9,0.0043031400585695065
C03_15,1.8611052847117493,60,30,0.002176621755985211
C03_16,1.9274887048789533,80,33,1.2118985011810535e-4
C03_17,1.8928761278588582,80,9,1e-7
C03_18,1.9999213856499847,80,30,1e-7
C03_19,2.501191807771557,100,33,1e-7
C03_2,1.2752836733593171,5,9,0.044531227410044893
C03_20,1.8093817754788455,100,9,1e-7
C03_21,1.9788510329146458,100,30,1e-7
C03_22,1.5622569642141888,400,33,1e-7
C03_23,1.7714355631075438,400,9,1e-7
C03_24,1.7005536503332808,400,5,1e-7
C03_25,1.678021977037089,600,33,1e-7
C03_26,1.988723244165704,600,9,1e-7
C03_27,1.539319651917273,600,30,1e-7
C03_28,1.5880826394972716,1000,33,1e-7
C03_29,1.735305253395338,1000,9,1e-7
C03_3,1.8711316483472176,5,30,0.03640527463225232
C03_30,1.6064957115426162,1000,30,1e-7
C03_4,1.444271449288852,10,33,0.02563253757008255
C03_5,0.9962346559116906,10,9,0.03488715862955434
C03_6,1.4197449197525847,10,30,0.016090001251296688
C03_7,0.9108226780659796,20,33,0.012389813880631897
C03_8,1.2167132958541207,20,9,0.02427106674038762
C03_9,1.498026844217049,20,30,0.009888087495821934
C04_1,1.509603501843264,5,32,0.04635936619518114
