well_plate,r,nitrate_concentration,population,alpha
C04_10,1.4480943861413835,40,32,0.0046996039731398735
C04_11,1.4711695852649005,40,35,0.0017946326994135982
C04_12,0.8601181370566492,40,5,0.010667938275185565
C04_13,1.7902054498041728,60,32,0.0033348476641867396
C04_14,1.7879813696269382,60,35,9.363059414635395e-4
C04_15,1.1672299323904343,60,5,0.006248309169982457
C04_16,2.1283326464006227,80,32,1e-7
C04_17,1.6047815501259792,80,35,1e-7
C04_18,1.8841360212065676,80,5,0.0012759031102430776
C04_19,2.3165756891091953,100,32,1e-7
C04_2,1.1726687084881868,5,35,0.024659801802793663
C04_20,1.7412779858733898,100,35,1e-7
C04_21,1.9539437783590987,100,5,1e-7
C04_22,1.469863055507946,400,32,1e-7
C04_23,1.6094736944102475,400,35,1e-7
C04_24,1.7923598342944007,400,30,1e-7
C04_25,1.4827781089578858,600,32,1e-7
C04_26,1.7880439933333405,600,35,1e-7
C04_27,1.7291007768829545,600,5,1e-7
C04_28,1.6692882432588714,1000,32,1e-7
C04_29,2.0971178888167414,1000,35,1e-7
C04_3,0.8104853557366628,5,5,0.04938681854984735
C04_30,1.5220924174277657,1000,5,1e-7
C04_4,1.2389594021009833,10,32,0.026076423975473332
C04_5,1.3661437204027413,10,35,0.019731175109297495
C04_6,0.9445556629573654,10,5,0.030249922635909168
C04_7,1.3680358901844325,20,32,0.013914797401601151
C04_8,1.1265371858870332,20,35,0.005106776873040039
C04_9,0.8820740366388851,20,5,0.017551961912662412
C05_1,1.180092341795161,5,25,0.025198791702302274
C05_10,1.505598129086389,40,25,0.004668079727539028
C05_11,1.117345783812742,40,28,0.0028275812529368425
C05_12,1.3985964704161638,40,cc1690,0.007418739799868806
C05_13,1.74574925423797,60,25,0.002049866314552487
C05_14,1.7036557889144932,60,28,0.0014171601932673973
C05_15,1.5508008442129506,60,cc1690,0.0028891693412009347
C05_16,1.9072695388573664,80,25,1.585366191349589e-4
C05_17,2.190735003064679,80,28,1e-7
C05_18,2.320750390837049,80,cc1690,5.008394961136008e-4
C05_19,1.8844543937035134,100,25,1e-7
C05_2,1.2227495901484384,5,28,0.030501536164726166
C05_20,1.8808710592702058,100,28,1e-7
C05_21,2.11835494907117,100,cc1690,1e-7
C05_22,1.5814483910358386,400,25,1e-7
C05_23,1.922837634435381,400,28,1e-7
C05_24,1.5645628026586487,400,cc1690,1e-7
C05_25,1.3460693663191827,600,25,1e-7
C05_26,2.0107008830660633,600,28,1e-7
C05_27,1.4148445516536765,600,cc1690,1e-7
C05_28,1.525898579606671,1000,25,1e-7
C05_29,1.5756636979839864,1000,28,1e-7
C05_3,1.2856467426921667,5,cc1690,0.042921427640830956
C05_30,1.6071670821774167,1000,cc1690,1e-7
C05_4,1.1447941066765832,10,25,0.018169385357627247
C05_5,1.9984777850591084,10,28,0.01961847903724585
C05_6,1.9008703105935398,10,cc1690,0.03285334336586068
C05_7,1.3822478026795442,20,25,0.00936980024069017
C05_8,1.0132081685365426,20,28,0.004412827987572041
C05_9,1.78872693435585,20,cc1690,0.023573443090708787
C06_1,1.704627867697281,5,1,0.029077846129421183
C06_10,1.326224833637416,40,1,0.0037886219385023256
C06_11,1.3238993442923306,40,26,0.0038135328129019564
C06_12,1.351874076988956,40,anc3,0.009298901717441573
C06_13,1.4275250978159473,60,1,0.0034541111977558388
C06_14,1.7537355916853905,60,26,0.004734926040854164
C06_15,1.7847606723425171,60,anc3,0.0045440486639876645
C06_16,1.7280515877848235,80,1,2.965602191327053e-4
C06_17,2.548515926982792,80,26,2.832371080870535e-4
C06_18,2.393079513591751,80,anc3,7.703535608016101e-4
C06_19,1.9258110682898384,100,1,1e-7
C06_2,1.032682983716625,5,26,0.03374128125084538
C06_20,1.8400748522654076,100,26,1e-7
C06_21,2.030265528507287,100,anc3,1e-7
C06_22,1.669207274829298,400,1,1e-7
C06_23,1.8950126285275317,400,26,1e-7
C06_24,1.5528131972469572,400,anc3,1e-7
C06_25,1.487246651886302,600,1,1e-7
C06_26,1.8314252774958635,600,26,1e-7
C06_27,1.5451321306023258,600,anc3,1e-7
C06_28,1.4937154615647616,1000,1,1e-7
C06_29,1.8384744862799252,1000,26,1e-7
C06_3,1.0281292115258187,5,anc3,0.038175779971755704
C06_30,1.5671545363229318,1000,anc3,1e-7
C06_4,1.1342915604872394,10,1,0.02319787665215979
C06_5,1.495424501709725,10,26,0.02160632023389387
C06_6,1.0393198488380941,10,anc3,0.03421294504904136
C06_7,1.061357097977803,20,1,0.009105114074153644
C06_8,1.4484491571915004,20,26,0.01757869675048742
C06_9,1.5575693450701427,20,anc3,0.02238892566109522
C07_1,1.429981435084938,5,11,0.040653286934316905
C07_10,1.4759603859384243,40,11,0.005376950354673902
C07_11,0.8634592676485696,40,27,0.010434395352365821
C07_12,1.1209784371396005,40,7,0.004503181149407233
C07_13,1.7867765271590619,60,11,0.0028845676297401365
C07_14,1.0461368435073273,60,27,0.009438865304159024
C07_15,1.1586560908158658,60,7,0.00565910836842531
C07_16,2.2593559665803324,80,11,0.0011069886624626006
C07_17,2.8775311790731948,80,27,3.551324392584388e-4
C07_18,2.059468354996562,80,7,0.0013797087842347961
C07_19,2.03181367087448,100,anc5,1e-7
C07_2,0.5295181616812555,5,27,0.04604642649451049
C07_20,2.0027955629342946,100,27,1e-7
C07_21,1.9588302000383802,100,7,1e-7
C07_22,2.0453995011630215,400,11,1e-7
C07_23,2.262237046359909,400,27,1e-7
C07_24,1.3268900766908607,400,7,1e-7
C07_25,1.7351729186715914,600,11,1e-7
C07_26,1.572602037162514,600,27,1e-7
C07_27,1.6868432972575567,600,7,1e-7
C07_28,1.8709760537985554,1000,11,1e-7
C07_29,1.840483913751363,1000,27,1e-7
C07_3,1.0670549068517252,5,7,0.024082078940192778
C07_30,1.5277450251415852,1000,7,1e-7
C07_4,1.0325278510278397,10,11,0.025795107238554882
C07_5,0.7658528896038311,10,27,0.0341129332011961
C07_6,0.9825305723964394,10,7,0.026065048066416057
C07_7,1.7185802722488672,20,11,0.01351619136387075
C07_8,0.7128265307799763,20,27,0.03243917948602117
C07_9,1.4314703323440736,20,7,0.011420664851656359
C08_11,1.1077153394155101,40,2,0.0067116793170616355
C08_12,1.7426354876293235,40,16,0.007329108950027969
C08_14,1.6415496399955638,60,2,0.00673221782802112
C08_15,1.1543313369765593,60,16,0.0030789303256066928
C08_17,2.4476934598539763,80,2,0.0013166058810518307
C08_18,1.8332468972485545,80,16,7.680552042374479e-4
C08_2,1.0429842496637836,5,2,0.042286469184268406
C08_20,2.022403264882662,100,2,2.393613760299597e-4
C08_21,2.2384825212562913,100,16,6.485949706334133e-4
C08_23,2.6049072300959626,400,2,1e-7
C08_24,1.248837197556489,400,16,1e-7
C08_26,1.6847132432898295,600,2,1e-7
C08_27,1.2683990436411985,600,16,1e-7
C08_29,1.9796897878683146,1000,2,1e-7
C08_3,1.1602498471716227,5,16,0.038825975937952624
C08_30,1.6938779613139063,1000,16,1e-7
C08_5,1.182072074259333,10,2,0.02783528160305626
C08_6,1.580469808389796,10,16,0.028008119810063348
C08_8,1.7379121294824293,20,2,0.01926038380440196
C08_9,1.773438826291724,20,16,0.01849310135349982
C09_1,1.1452919604709082,5,6,0.019326455616319644
C09_10,1.552804607214716,40,6,0.0047737132412310574
C09_11,1.4835008673197996,40,21,6.790993319829374e-5
C09_12,1.5603645763171206,40,30,0.0021915704723707206
C09_13,1.2009477907832506,60,6,0.004477883469626774
C09_14,1.630009372944263,60,21,1e-7
C09_15,1.9035296064176528,60,30,0.0036856552732988978
C09_16,1.9609773354421747,80,6,1e-7
C09_17,2.2949378048398765,80,21,1e-7
C09_18,1.8646999457401034,80,30,6.256717753951029e-5
C09_19,1.9039323284906295,100,6,1e-7
C09_2,1.5186091322741608,5,21,0.008091489100740572
C09_20,2.0071489850370803,100,21,1e-7
C09_21,1.667182098588543,100,30,1e-7
C09_22,1.8099748644532643,400,6,1e-7
C09_23,1.837071439097359,400,21,1e-7
C09_24,1.3811698636477048,400,5,1e-7
C09_25,1.4264736986243667,600,6,1e-7
C09_26,1.916496811975254,600,21,1e-7
C09_27,1.4403351022102524,600,30,1e-7
C09_28,1.5767139065856204,1000,6,1e-7
C09_29,1.8690457450487201,1000,21,1e-7
C09_3,1.3726125126012934,5,30,0.03518365534210544
C09_30,1.3652152711097731,1000,30,1e-7
C09_4,1.1676997758618772,10,6,0.021199713635462785
C09_5,1.2220020546094392,10,21,0.005689533816243952
C09_6,1.3563301049298184,10,30,0.0253846538182858
C09_7,1.263735668113071,20,6,0.010773733918994884
C09_8,1.3791387290344113,20,21,0.0025287034240832405
C09_9,1.50469016790024,20,30,0.012463631706771597
C10_1,1.4936260891414772,5,23,0.042943989624729305
C10_10,1.358196249875564,40,23,0.0053714948980888005
C10_11,1.591396958009602,40,anc2,0.0061327980718941695
C10_12,1.4918937414814315,40,3,0.00422802530834266
C10_13,1.63825903847439,60,23,0.0028702673048974624
C10_14,1.6065149200370747,60,anc2,0.004542795438064333
C10_15,1.4896059623165994,60,3,0.002331531601200954
C10_16,2.4147128121047117,80,23,4.4618047631123336e-4
C10_17,2.3051587681056356,80,anc2,2.388089782975594e-4
C10_18,1.9280843894095026,80,3,6.414935998018768e-4
C10_19,2.3427805769220877,100,23,1e-7
C10_2,0.9930168922548748,5,anc2,0.03526817652200404
C10_20,2.13055216342431,100,anc2,1e-7
C10_21,2.045853293446203,100,3,1e-7
C10_22,2.1155023369021384,400,23,1e-7
C10_23,1.6497719363046464,400,anc2,1e-7
C10_24,1.4646226732501435,400,3,1e-7
C10_25,1.5459261531997501,600,23,1e-7
C10_26,1.5670587317261773,600,anc2,1e-7
C10_27,1.6585543168465469,600,3,1e-7
C10_28,2.1768832730953975,1000,23,1e-7
C10_29,1.711628744328056,1000,anc2,1e-7
C10_3,1.6834933755788424,5,3,0.027277516862506908
C10_30,1.277290290818952,1000,3,1e-7
